ID,mes_0,mes_1,mes_10,mes_11,mes_12,mes_13,mes_14,mes_15,mes_16,mes_17,mes_18,mes_19,mes_2,mes_20,mes_21,mes_22,mes_23,mes_24,mes_3,mes_4,mes_5,mes_6,mes_7,mes_8,mes_9
5001718,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,,0,0,0,0,,0,
5001719,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5001720,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
5001723,0,0,,,,,,,,,,,0,,,,,,0,0,0,0,0,,
5001726,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5001730,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,C,C,C,C,C
5001738,0,0,0,0,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5001739,0,0,0,0,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5001742,0,0,0,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,,0,0,0
5001743,0,,C,C,C,C,C,C,C,C,C,C,,C,C,C,C,C,,,,,,,
5001744,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,C,C,C,C,C
5001747,0,0,0,0,0,0,0,0,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5001748,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5001758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
5001760,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5001765,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,C,C,C,C
5001766,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5001774,0,0,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
5001775,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,C,C,C,C,C,C,C
5001786,0,0,0,0,0,0,0,0,0,0,0,0,0,1,C,C,C,C,0,0,0,0,0,0,0
5001792,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0
5001793,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
5001794,0,0,C,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,C
5001798,0,,C,C,C,C,C,C,C,C,C,C,,C,C,C,C,C,0,0,0,C,C,C,C
5001806,0,0,0,0,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5001807,0,0,0,C,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
5001808,0,0,0,0,C,C,C,C,C,C,C,C,0,C,C,C,C,C,0,0,0,0,0,0,0
