sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau
M,Y,Y,0,Working,Secondary / secondary special,Married,House / apartment,58.83287671232877,3.106849315068493,1,0,0,0,2.0,False
F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.35616438356164,8.35890410958904,1,0,1,1,1.0,False
F,N,Y,0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52.35616438356164,8.35890410958904,1,0,1,1,1.0,False
M,Y,Y,0,Working,Higher education,Married,House / apartment,46.224657534246575,2.106849315068493,1,1,1,1,2.0,False
F,Y,N,0,Working,Incomplete higher,Married,House / apartment,29.23013698630137,3.021917808219178,1,0,0,0,2.0,False
F,Y,N,0,Working,Incomplete higher,Married,House / apartment,29.23013698630137,3.021917808219178,1,0,0,0,2.0,False
F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,27.482191780821918,4.024657534246575,1,0,1,0,2.0,False
F,N,Y,0,Working,Secondary / secondary special,Married,House / apartment,27.482191780821918,4.024657534246575,1,0,1,0,2.0,False
F,N,Y,1,Working,Secondary / secondary special,Single / not married,House / apartment,30.04931506849315,4.438356164383562,1,0,0,0,2.0,False
F,N,Y,1,Working,Secondary / secondary special,Single / not married,House / apartment,30.04931506849315,4.438356164383562,1,0,0,0,2.0,False
M,Y,Y,3,Working,Secondary / secondary special,Married,House / apartment,34.76438356164383,3.186301369863014,1,0,0,0,5.0,False
M,N,Y,1,Commercial associate,Higher education,Married,House / apartment,32.443835616438356,5.523287671232877,1,0,0,0,3.0,False
M,N,Y,1,Commercial associate,Higher education,Married,House / apartment,32.443835616438356,5.523287671232877,1,0,0,0,3.0,False
M,N,Y,1,Commercial associate,Higher education,Married,House / apartment,32.443835616438356,5.523287671232877,1,0,0,0,3.0,False
M,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False
M,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False
M,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False
M,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False
M,Y,Y,0,Commercial associate,Secondary / secondary special,Married,House / apartment,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False
F,Y,Y,2,Working,Secondary / secondary special,Married,House / apartment,43.18082191780822,8.693150684931506,1,0,0,0,4.0,False
F,Y,Y,2,Working,Secondary / secondary special,Married,House / apartment,43.18082191780822,8.693150684931506,1,0,0,0,4.0,False
F,Y,Y,2,Working,Secondary / secondary special,Married,House / apartment,43.18082191780822,8.693150684931506,1,0,0,0,4.0,False
F,N,Y,1,State servant,Secondary / secondary special,Civil marriage,House / apartment,44.416438356164385,19.44931506849315,1,0,0,0,3.0,False
F,N,Y,2,Commercial associate,Higher education,Married,House / apartment,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False
F,N,Y,2,Commercial associate,Higher education,Married,House / apartment,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False
F,N,Y,2,Commercial associate,Higher education,Married,House / apartment,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False
F,N,Y,2,Commercial associate,Higher education,Married,House / apartment,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False
F,N,Y,2,Commercial associate,Higher education,Married,House / apartment,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False
F,N,Y,0,Pensioner,Secondary / secondary special,Widow,House / apartment,55.3041095890411,-1000.6657534246575,1,0,0,0,1.0,False
F,N,Y,0,Commercial associate,Higher education,Separated,Rented apartment,46.61917808219178,3.6904109589041094,1,0,0,0,1.0,False
F,N,Y,0,Commercial associate,Higher education,Separated,Rented apartment,46.61917808219178,3.6904109589041094,1,0,0,0,1.0,False
