,data_ref,index,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,mau,renda
0,2015-01-01,8682,F,False,True,1,Assalariado,Secundário,Casado,Casa,36,3.5753424657534247,3.0,False,3369.24
1,2015-01-01,12830,M,True,True,0,Empresário,Secundário,Casado,Casa,42,0.8602739726027397,2.0,False,6096.14
2,2015-01-01,2885,M,True,True,2,Assalariado,Superior completo,Casado,Casa,31,8.065753424657535,4.0,False,5658.98
3,2015-01-01,16168,F,True,False,0,Empresário,Secundário,Casado,Casa,50,1.2082191780821918,2.0,False,7246.69
4,2015-01-01,12438,M,False,False,0,Assalariado,Secundário,Casado,Casa,52,13.873972602739727,2.0,False,4017.37
5,2015-01-01,7409,M,False,True,0,Assalariado,Superior incompleto,Casado,Casa,46,15.561643835616438,2.0,False,5483.58
6,2015-01-01,6913,F,False,True,0,Assalariado,Secundário,Casado,Casa,51,5.046575342465753,2.0,False,1947.99
7,2015-01-01,13047,M,True,True,0,Empresário,Secundário,Casado,Casa,24,1.5917808219178082,2.0,False,7781.51
8,2015-01-01,4529,F,False,False,0,Assalariado,Secundário,Casado,Casa,53,3.4301369863013704,2.0,False,5577.82
9,2015-01-01,14646,F,False,True,2,Servidor público,Secundário,União,Casa,34,7.219178082191781,4.0,False,803.34
10,2015-01-01,8550,F,False,True,0,Assalariado,Superior completo,Casado,Casa,35,5.638356164383563,2.0,False,3109.79
11,2015-01-01,1591,F,True,True,1,Empresário,Superior completo,Casado,Casa,31,4.479452054794519,3.0,False,2779.67
12,2015-01-01,5090,M,True,True,2,Pensionista,Primário,Casado,Casa,60,,4.0,False,5114.7
13,2015-01-01,3906,F,False,True,0,Servidor público,Secundário,União,Casa,50,16.528767123287672,2.0,False,4640.47
14,2015-01-01,13629,F,False,True,0,Assalariado,Secundário,Solteiro,Casa,46,7.934246575342466,1.0,False,1055.14
15,2015-01-01,5732,F,False,False,1,Servidor público,Secundário,Solteiro,Casa,42,5.542465753424659,2.0,False,1728.33
16,2015-01-01,535,F,True,True,1,Empresário,Secundário,Casado,Casa,41,5.358904109589041,3.0,False,1934.8
17,2015-01-01,10668,M,True,True,1,Assalariado,Superior completo,Separado,Casa,44,6.934246575342466,2.0,False,3939.28
18,2015-01-01,4323,M,True,True,0,Assalariado,Secundário,Casado,Casa,33,4.008219178082192,2.0,False,4787.86
19,2015-01-01,1860,M,True,True,0,Pensionista,Superior completo,Casado,Casa,64,,2.0,False,4501.53
20,2015-01-01,8850,F,True,True,0,Assalariado,Secundário,Solteiro,Casa,53,10.635616438356163,1.0,False,1772.14
21,2015-01-01,5257,F,True,True,0,Empresário,Superior completo,Casado,Casa,28,2.682191780821918,2.0,False,2053.45
22,2015-01-01,2450,M,False,True,1,Assalariado,Superior completo,Casado,Casa,37,14.958904109589039,3.0,False,44277.19
23,2015-01-01,14475,M,False,True,0,Empresário,Superior completo,Casado,Casa,55,1.5205479452054795,2.0,True,24664.37
24,2015-01-01,14944,M,True,True,0,Servidor público,Superior completo,Casado,Casa,27,1.7616438356164383,2.0,False,6165.13
25,2015-01-01,13606,F,False,True,0,Assalariado,Secundário,Casado,Casa,47,2.432876712328768,2.0,False,3104.42
26,2015-01-01,3453,F,False,True,1,Pensionista,Secundário,Casado,Casa,56,,3.0,False,2053.04
27,2015-01-01,2317,F,False,True,0,Pensionista,Secundário,Casado,Casa,65,,2.0,False,6714.39
28,2015-01-01,3639,F,True,False,1,Assalariado,Superior completo,Solteiro,Casa,30,3.4876712328767123,2.0,False,630.3
29,2015-01-01,5583,M,False,False,0,Assalariado,Secundário,Casado,Casa,50,19.967123287671228,2.0,False,3819.53
30,2015-01-01,13799,F,True,False,0,Pensionista,Primário,Casado,Casa,64,,2.0,False,1350.5
31,2015-01-01,2016,M,True,True,0,Assalariado,Secundário,Casado,Casa,34,7.178082191780822,2.0,False,2156.77
32,2015-01-01,13401,F,False,True,1,Assalariado,Secundário,Casado,Casa,29,0.3479452054794521,3.0,False,1105.6
33,2015-01-01,12912,M,True,False,0,Assalariado,Secundário,Solteiro,Com os pais,30,9.553424657534247,1.0,False,6505.75
34,2015-01-01,4115,F,False,True,0,Servidor público,Superior completo,Viúvo,Casa,53,18.389041095890416,1.0,False,7212.4
35,2015-01-01,8821,F,True,True,1,Empresário,Secundário,União,Casa,31,2.2109589041095887,3.0,False,3644.16
36,2015-01-01,1012,F,True,True,3,Assalariado,Superior completo,Casado,Casa,41,0.33424657534246577,5.0,False,1268.44
37,2015-01-01,4465,F,False,False,0,Empresário,Superior completo,Casado,Com os pais,40,12.849315068493151,2.0,False,10271.6
38,2015-01-01,9865,F,True,True,0,Empresário,Secundário,Casado,Casa,48,4.682191780821919,2.0,False,1128.43
39,2015-01-01,6320,M,True,False,2,Assalariado,Superior completo,Casado,Casa,32,1.991780821917808,4.0,False,2918.69
40,2015-01-01,11985,F,True,True,1,Assalariado,Superior completo,Casado,Casa,36,1.0767123287671232,3.0,False,2274.63
41,2015-01-01,5384,M,True,True,0,Servidor público,Superior completo,Solteiro,Casa,27,2.263013698630137,1.0,False,2662.93
42,2015-01-01,39,F,False,True,0,Empresário,Secundário,Solteiro,Aluguel,42,8.860273972602737,1.0,False,2018.26
43,2015-01-01,7029,F,False,True,0,Empresário,Secundário,Casado,Casa,53,4.7972602739726025,2.0,False,1577.59
44,2015-01-01,10194,F,False,True,0,Assalariado,Secundário,Casado,Casa,61,1.547945205479452,2.0,False,3100.05
45,2015-01-01,15306,F,False,False,0,Assalariado,Secundário,Solteiro,Casa,48,1.0328767123287672,1.0,False,3876.0
46,2015-01-01,14491,F,False,True,0,Pensionista,Secundário,Casado,Casa,61,,2.0,False,4055.24
47,2015-01-01,10511,M,False,True,0,Empresário,Secundário,Solteiro,Com os pais,28,3.512328767123288,1.0,False,10974.1
48,2015-01-01,1641,M,True,True,0,Assalariado,Secundário,Casado,Casa,50,5.06027397260274,2.0,False,7250.98
49,2015-01-01,3951,F,False,True,1,Servidor público,Secundário,Solteiro,Casa,43,10.93972602739726,2.0,False,3602.46
50,2015-01-01,11116,F,True,False,0,Assalariado,Secundário,Casado,Casa,35,3.7589041095890408,2.0,False,736.0
51,2015-01-01,8688,F,False,True,1,Assalariado,Superior completo,União,Casa,37,5.156164383561643,3.0,False,2832.19
