,total_bill,tip,sex,smoker,day,time,size,tip_pct,net_bill
0,16.99,1.01,Female,No,Sun,Dinner,2,0.06320400500625782,15.979999999999999
1,10.34,1.66,Male,No,Sun,Dinner,3,0.1912442396313364,8.68
2,21.01,3.5,Male,No,Sun,Dinner,3,0.19988577955454023,17.51
3,23.68,3.31,Male,No,Sun,Dinner,2,0.16249386352479137,20.37
4,24.59,3.61,Female,No,Sun,Dinner,4,0.17206863679694948,20.98
5,25.29,4.71,Male,No,Sun,Dinner,4,0.22886297376093295,20.58
6,8.77,2.0,Male,No,Sun,Dinner,2,0.29542097488921715,6.77
7,26.88,3.12,Male,No,Sun,Dinner,4,0.13131313131313133,23.759999999999998
8,15.04,1.96,Male,No,Sun,Dinner,2,0.14984709480122327,13.079999999999998
9,14.78,3.23,Male,No,Sun,Dinner,2,0.27965367965367965,11.549999999999999
10,10.27,1.71,Male,No,Sun,Dinner,2,0.19976635514018695,8.559999999999999
11,35.26,5.0,Female,No,Sun,Dinner,4,0.16523463317911435,30.259999999999998
12,15.42,1.57,Male,No,Sun,Dinner,2,0.11335740072202166,13.85
13,18.43,3.0,Male,No,Sun,Dinner,4,0.19442644199611148,15.43
14,14.83,3.02,Female,No,Sun,Dinner,2,0.2557154953429297,11.81
15,21.58,3.92,Male,No,Sun,Dinner,2,0.22197055492638734,17.659999999999997
16,10.33,1.67,Female,No,Sun,Dinner,3,0.1928406466512702,8.66
17,16.29,3.71,Male,No,Sun,Dinner,3,0.294912559618442,12.579999999999998
18,16.97,3.5,Female,No,Sun,Dinner,3,0.25983667409057165,13.469999999999999
19,20.65,3.35,Male,No,Sat,Dinner,3,0.19364161849710987,17.299999999999997
20,17.92,4.08,Male,No,Sat,Dinner,2,0.29479768786127164,13.840000000000002
21,20.29,2.75,Female,No,Sat,Dinner,2,0.15678449258836946,17.54
22,15.77,2.23,Female,No,Sat,Dinner,2,0.16469719350073855,13.54
23,39.42,7.58,Male,No,Sat,Dinner,4,0.23806532663316582,31.840000000000003
24,19.82,3.18,Male,No,Sat,Dinner,2,0.19110576923076925,16.64
25,17.81,2.34,Male,No,Sat,Dinner,4,0.15126050420168066,15.469999999999999
26,13.37,2.0,Male,No,Sat,Dinner,2,0.1759014951627089,11.37
27,12.69,2.0,Male,No,Sat,Dinner,2,0.1870907390084191,10.69
28,21.7,4.3,Male,No,Sat,Dinner,2,0.2471264367816092,17.4
29,19.65,3.0,Female,No,Sat,Dinner,2,0.1801801801801802,16.65
30,9.55,1.45,Male,No,Sat,Dinner,2,0.1790123456790123,8.100000000000001
31,18.35,2.5,Male,No,Sat,Dinner,4,0.15772870662460567,15.850000000000001
32,15.06,3.0,Female,No,Sat,Dinner,2,0.24875621890547261,12.06
33,20.69,2.45,Female,No,Sat,Dinner,4,0.13432017543859648,18.240000000000002
34,17.78,3.27,Male,No,Sat,Dinner,2,0.2253618194348725,14.510000000000002
35,24.06,3.6,Male,No,Sat,Dinner,3,0.17595307917888567,20.459999999999997
36,16.31,2.0,Male,No,Sat,Dinner,3,0.13976240391334732,14.309999999999999
37,16.93,3.07,Female,No,Sat,Dinner,3,0.2215007215007215,13.86
38,18.69,2.31,Male,No,Sat,Dinner,3,0.141025641025641,16.380000000000003
39,31.27,5.0,Male,No,Sat,Dinner,3,0.1903311762466692,26.27
40,16.04,2.24,Male,No,Sat,Dinner,3,0.16231884057971016,13.799999999999999
41,17.46,2.54,Male,No,Sun,Dinner,2,0.17024128686327075,14.920000000000002
42,13.94,3.06,Male,No,Sun,Dinner,2,0.28125000000000006,10.879999999999999
43,9.68,1.32,Male,No,Sun,Dinner,2,0.15789473684210528,8.36
44,30.4,5.6,Male,No,Sun,Dinner,4,0.22580645161290325,24.799999999999997
45,18.29,3.0,Male,No,Sun,Dinner,2,0.1962066710268149,15.29
46,22.23,5.0,Male,No,Sun,Dinner,2,0.2901915264074289,17.23
47,32.4,6.0,Male,No,Sun,Dinner,4,0.2272727272727273,26.4
48,28.55,2.05,Male,No,Sun,Dinner,3,0.07735849056603773,26.5
49,18.04,3.0,Male,No,Sun,Dinner,2,0.199468085106383,15.04
50,12.54,2.5,Male,No,Sun,Dinner,2,0.24900398406374505,10.04
51,10.29,2.6,Female,No,Sun,Dinner,2,0.33810143042912877,7.6899999999999995
52,34.81,5.2,Female,No,Sun,Dinner,4,0.1756163458291118,29.610000000000003
